checking_account_status,duration,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,residence_since,age,existing_credits,num_dependents,personal_status_A92,personal_status_A93,personal_status_A94,other_debtors_A102,other_debtors_A103,property_A122,property_A123,property_A124,other_installment_plans_A142,other_installment_plans_A143,housing_A152,housing_A153,job_A172,job_A173,job_A174,telephone_A192,foreign_worker_A202,monthly_payment_estimate
0,1.9459101490553132,0.293,0.28,7.064759027791802,4,4,4,4,4.204692619390966,2,1,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,3.6305679536239386
1,3.8918202981106265,0.53,0.28,8.691482576512929,0,2,2,2,3.1354942159291497,1,1,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,2.233269244402782
3,2.5649493574615367,0.293,0.05,7.64826303090192,0,3,2,3,3.912023005428146,1,2,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,2.981837831867061
0,3.7612001156935624,0.53,0.181,8.972463821059907,0,3,2,4,3.828641396489095,1,2,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,2.3855321559792606
0,3.2188758248682006,0.088,0.234,8.491054533806542,0,2,3,4,3.9889840465642745,2,2,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,2.6378944065523915
3,3.6109179126442243,0.53,0.05,9.111182800442965,4,2,2,4,3.58351893845611,1,2,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,2.5232317712176884
3,3.2188758248682006,0.53,0.181,7.950149887652018,2,4,3,4,3.9889840465642745,1,1,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,2.4698529300916863
1,3.6109179126442243,0.53,0.103,8.846353043314327,0,2,2,2,3.58351893845611,1,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,2.449890376166504
3,2.5649493574615367,0.53,0.28,8.026170194946426,3,3,2,4,4.127134385045092,1,1,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,3.129172968502472
1,3.4339872044851463,0.293,0.234,8.563122123304638,0,0,4,2,3.367295829986474,2,1,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,2.493638331593171
1,2.5649493574615367,0.53,0.234,7.16703787691222,0,1,3,1,3.258096538021482,1,1,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,2.7942219818348577
0,3.8918202981106265,0.53,0.097,8.368461137615839,0,1,3,4,3.2188758248682006,1,1,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,2.150269153403229
1,2.5649493574615367,0.53,0.28,7.357556200910353,0,2,1,1,3.1354942159291497,1,1,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,2.868499598055197
0,3.2188758248682006,0.293,0.234,7.090076835776092,0,4,4,4,4.110873864173311,2,1,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,2.202656213389779
0,2.772588722239781,0.53,0.234,7.247080584585756,0,2,2,4,3.367295829986474,1,1,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,2.61383180507614
0,3.2188758248682006,0.53,0.28,7.1569563646156364,1,2,4,2,3.4965075614664802,1,1,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,2.223433507227227
3,3.2188758248682006,0.293,0.28,7.793586803371584,4,4,4,4,3.9889840465642745,2,1,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,2.4212138732287687
0,3.4339872044851463,0.04,0.097,8.996280439395015,4,1,2,3,3.258096538021482,3,1,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,2.619776925098886
1,3.2188758248682006,0.53,0.103,9.439863530254431,0,4,4,2,3.8066624897703196,1,1,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,2.932658494411152
3,3.2188758248682006,0.53,0.28,8.14060704285845,2,4,3,2,3.4657359027997265,1,2,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,2.5290217721249855
3,2.302585092994046,0.293,0.234,7.666221925662725,0,2,4,4,3.8918202981106265,3,1,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,3.3293978793610424
0,1.9459101490553132,0.53,0.28,7.881559917056899,2,2,2,3,3.8066624897703196,1,2,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,4.0503205766634105
0,2.3978952727983707,0.293,0.234,7.715123603632105,0,1,1,3,3.8918202981106265,2,2,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,3.217456446556346
1,2.5649493574615367,0.293,0.103,7.498315870766981,1,1,3,4,3.8066624897703196,1,1,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,2.9233777458233594
3,2.3978952727983707,0.293,0.181,7.635303886259415,4,2,2,1,3.295836866004329,2,1,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,3.1841690389376054
0,1.9459101490553132,0.53,0.181,7.226209010100671,0,2,1,2,3.6109179126442243,1,1,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,3.713536831908092
3,1.9459101490553132,0.04,0.28,6.120099597187713,0,4,4,4,3.6888794541139363,1,1,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,3.145109038132545
2,2.5649493574615367,0.049,0.28,6.120099597187713,3,2,3,3,3.7612001156935624,2,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2.386050851017431
1,2.0794415416798357,0.53,0.28,7.789868559054706,0,2,3,2,3.5553480614894135,1,1,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,3.74613491310836
0,4.007333185232471,0.088,0.097,8.830104317913793,0,4,3,4,4.1588830833596715,2,1,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,2.2034864359304693
1,2.9444389791664403,0.53,0.097,7.5569505720129,3,1,3,3,3.6109179126442243,1,1,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,2.566516278816634
0,3.2188758248682006,0.53,0.181,8.299285906897275,0,2,2,2,3.332204510175204,1,1,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,2.5783181329267637
1,2.9444389791664403,0.53,0.234,8.67709870892586,1,2,2,2,3.4339872044851463,2,1,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,2.9469446540822233
3,2.5649493574615367,0.293,0.097,7.142827401161621,4,4,4,4,4.060443010546419,1,1,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,2.784783013505846
2,2.5649493574615367,0.53,0.181,7.29641326877392,0,1,4,1,3.5263605246161616,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,2.844661726964851
1,3.828641396489095,0.293,0.28,8.465268118551318,0,1,4,2,3.258096538021482,2,1,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,2.211037086501248
3,3.8918202981106265,0.293,0.05,8.717845704894916,0,2,1,3,3.4657359027997265,1,1,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,2.240043228390374
