Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A11,0.029411764705882353,A34,A43,0.05056674369979091,A65,A75,1.0,A93,A101,1.0,A121,0.8571428571428571,A143,A152,0.3333333333333333,A173,0.0,A192,A201
A12,0.6470588235294118,A32,A43,0.31368988665126,A61,A73,0.3333333333333333,A92,A101,0.3333333333333333,A121,0.05357142857142857,A143,A152,0.0,A173,0.0,A191,A201
A14,0.11764705882352941,A34,A46,0.10157367668097282,A61,A74,0.3333333333333333,A93,A101,0.6666666666666666,A121,0.5357142857142857,A143,A152,0.0,A172,1.0,A191,A201
A11,0.5588235294117647,A32,A42,0.4199405744470122,A61,A74,0.3333333333333333,A93,A103,1.0,A122,0.4642857142857143,A143,A153,0.0,A173,1.0,A191,A201
A11,0.29411764705882354,A33,A40,0.25420931000330144,A61,A73,0.6666666666666666,A93,A101,1.0,A124,0.6071428571428571,A143,A153,0.3333333333333333,A173,1.0,A191,A201
A14,0.47058823529411764,A32,A46,0.4844833278309673,A65,A73,0.3333333333333333,A93,A101,1.0,A124,0.2857142857142857,A143,A153,0.0,A172,1.0,A192,A201
A14,0.29411764705882354,A32,A42,0.14223616154946628,A63,A75,0.6666666666666666,A93,A101,1.0,A122,0.6071428571428571,A143,A152,0.0,A173,0.0,A191,A201
A12,0.47058823529411764,A32,A41,0.3685484758446132,A61,A73,0.3333333333333333,A93,A101,0.3333333333333333,A123,0.2857142857142857,A143,A151,0.0,A174,0.0,A192,A201
A14,0.11764705882352941,A32,A43,0.15456146142841423,A64,A74,0.3333333333333333,A91,A101,1.0,A121,0.75,A143,A152,0.0,A172,0.0,A191,A201
A12,0.38235294117647056,A34,A40,0.27423792230659183,A61,A71,1.0,A94,A101,0.3333333333333333,A123,0.16071428571428573,A143,A152,0.3333333333333333,A174,0.0,A191,A201
A12,0.11764705882352941,A32,A40,0.05749972488169913,A61,A72,0.6666666666666666,A92,A101,0.0,A123,0.10714285714285714,A143,A151,0.0,A173,0.0,A191,A201
A11,0.6470588235294118,A32,A49,0.2232860129855838,A61,A72,0.6666666666666666,A92,A101,1.0,A122,0.08928571428571429,A143,A151,0.0,A173,0.0,A191,A201
A12,0.11764705882352941,A32,A43,0.07246616044899307,A61,A73,0.0,A92,A101,0.0,A123,0.05357142857142857,A143,A152,0.0,A173,0.0,A192,A201
A11,0.29411764705882354,A34,A40,0.05221745350500715,A61,A75,1.0,A93,A101,1.0,A123,0.7321428571428571,A143,A152,0.3333333333333333,A172,0.0,A191,A201
A11,0.16176470588235295,A32,A40,0.06344228018047761,A61,A73,0.3333333333333333,A92,A101,1.0,A123,0.16071428571428573,A143,A151,0.0,A173,0.0,A191,A201
A11,0.29411764705882354,A32,A43,0.056784417299438755,A62,A73,1.0,A92,A101,0.3333333333333333,A123,0.23214285714285715,A143,A152,0.0,A172,0.0,A191,A201
A14,0.29411764705882354,A34,A43,0.11962143721800374,A65,A75,1.0,A93,A101,1.0,A122,0.6071428571428571,A143,A152,0.3333333333333333,A173,0.0,A191,A201
A11,0.38235294117647056,A30,A49,0.43039506988004844,A65,A72,0.3333333333333333,A93,A101,0.6666666666666666,A123,0.10714285714285714,A141,A152,0.6666666666666666,A173,0.0,A191,A201
A12,0.29411764705882354,A32,A41,0.678386706283702,A61,A75,1.0,A92,A101,0.3333333333333333,A124,0.44642857142857145,A143,A153,0.0,A174,0.0,A192,A201
A14,0.29411764705882354,A32,A43,0.17497523935292175,A63,A75,0.6666666666666666,A93,A101,0.3333333333333333,A123,0.21428571428571427,A143,A152,0.0,A173,1.0,A192,A201
A14,0.07352941176470588,A34,A40,0.10366457576758006,A61,A73,1.0,A93,A101,1.0,A123,0.5178571428571429,A143,A152,0.6666666666666666,A173,0.0,A192,A201
A11,0.029411764705882353,A32,A43,0.1318917134367778,A63,A73,0.3333333333333333,A93,A101,0.6666666666666666,A121,0.44642857142857145,A143,A151,0.0,A173,1.0,A191,A201
A11,0.08823529411764706,A34,A40,0.10955210740618467,A61,A72,0.0,A93,A101,0.6666666666666666,A121,0.5178571428571429,A143,A151,0.3333333333333333,A172,1.0,A191,A202
A12,0.11764705882352941,A34,A41,0.08550676791020138,A62,A72,0.6666666666666666,A93,A101,1.0,A122,0.44642857142857145,A143,A152,0.0,A173,0.0,A191,A201
A14,0.08823529411764706,A34,A42,0.1000880378562782,A65,A73,0.3333333333333333,A94,A101,0.0,A123,0.125,A143,A152,0.3333333333333333,A173,0.0,A191,A202
A11,0.029411764705882353,A32,A42,0.061846594035435236,A61,A73,0.0,A93,A101,0.3333333333333333,A121,0.30357142857142855,A141,A152,0.0,A172,0.0,A192,A201
A14,0.029411764705882353,A30,A43,0.009684164190601958,A61,A75,1.0,A94,A101,1.0,A123,0.35714285714285715,A143,A152,0.0,A172,0.0,A191,A201
